================================================================================
CloudFormation DeletionPolicy Audit Report
================================================================================


cfn/api-auth-stack.yaml
--------------------------------------------------------------------------------
  ✓  UserPool                                 AWS::Cognito::UserPool                             Delete
  ❌ DRSOrchestrationAdminGroup               AWS::Cognito::UserPoolGroup                        MISSING
  ❌ DRSRecoveryManagerGroup                  AWS::Cognito::UserPoolGroup                        MISSING
  ❌ DRSPlanManagerGroup                      AWS::Cognito::UserPoolGroup                        MISSING
  ❌ DRSOperatorGroup                         AWS::Cognito::UserPoolGroup                        MISSING
  ❌ DRSReadOnlyGroup                         AWS::Cognito::UserPoolGroup                        MISSING
  ❌ UserPoolClient                           AWS::Cognito::UserPoolClient                       MISSING
  ✓  IdentityPool                             AWS::Cognito::IdentityPool                         Delete
  ❌ CognitoAuthenticatedRole                 AWS::IAM::Role                                     MISSING
  ❌ IdentityPoolRoleMapping                  AWS::Cognito::IdentityPoolRoleAttachment           MISSING

cfn/api-gateway-core-methods-stack.yaml
--------------------------------------------------------------------------------
  ❌ HealthGetMethod                          MOCK                                               MISSING
  ❌ HealthOptionsMethod                      MOCK                                               MISSING
  ❌ UserProfileGetMethod                     AWS_PROXY                                          MISSING
  ❌ UserProfileOptionsMethod                 MOCK                                               MISSING
  ❌ UserRolesGetMethod                       AWS_PROXY                                          MISSING
  ❌ UserRolesOptionsMethod                   MOCK                                               MISSING
  ❌ UserPermissionsGetMethod                 AWS_PROXY                                          MISSING
  ❌ UserPermissionsOptionsMethod             MOCK                                               MISSING
  ❌ ProtectionGroupsGetMethod                AWS_PROXY                                          MISSING
  ❌ ProtectionGroupsPostMethod               AWS_PROXY                                          MISSING
  ❌ ProtectionGroupsOptionsMethod            MOCK                                               MISSING
  ❌ ProtectionGroupResolvePostMethod         AWS_PROXY                                          MISSING
  ❌ ProtectionGroupResolveOptionsMethod      MOCK                                               MISSING
  ❌ ProtectionGroupGetMethod                 AWS_PROXY                                          MISSING
  ❌ ProtectionGroupPutMethod                 AWS_PROXY                                          MISSING
  ❌ ProtectionGroupDeleteMethod              AWS_PROXY                                          MISSING
  ❌ ProtectionGroupOptionsMethod             MOCK                                               MISSING
  ❌ ProtectionGroupApplyLaunchConfigsPostMethod AWS_PROXY                                          MISSING
  ❌ ProtectionGroupApplyLaunchConfigsOptionsMethod MOCK                                               MISSING
  ❌ ProtectionGroupLaunchConfigStatusGetMethod AWS_PROXY                                          MISSING
  ❌ ProtectionGroupLaunchConfigStatusOptionsMethod MOCK                                               MISSING
  ❌ RecoveryPlansGetMethod                   AWS_PROXY                                          MISSING
  ❌ RecoveryPlansPostMethod                  AWS_PROXY                                          MISSING
  ❌ RecoveryPlansOptionsMethod               MOCK                                               MISSING
  ❌ RecoveryPlanGetMethod                    AWS_PROXY                                          MISSING
  ❌ RecoveryPlanPutMethod                    AWS_PROXY                                          MISSING
  ❌ RecoveryPlanDeleteMethod                 AWS_PROXY                                          MISSING
  ❌ RecoveryPlanOptionsMethod                MOCK                                               MISSING
  ❌ RecoveryPlanExecuteMethod                AWS_PROXY                                          MISSING
  ❌ RecoveryPlanExecuteOptionsMethod         MOCK                                               MISSING
